PUZZLE,CATEGORY,,
SCIENCE LABRATORY,Place,,
GOOF AROUND,Phrase,,
COSTUME PARTY,Event,,
WORTHY OPPONENTS,People,,
LIVING LIFE TO THE FULLEST,Phrase,,
SOMEBODY CALL A DOCTOR FRANKENSTEIN,Before & After,,
JEEPERS CREEPERS,Rhyme Time,,
HOWLING WEREWOLVES,Fictional Characters,,
HEAVY FOG,Thing,,
FRIGHT NIGHT,Rhyme Time,,
SALEM MASSACHUSETTS,On the Map,,
UNDER THE BOARDWALK DOWN BY THE SEA MONSTER,Before & After,,
STARRING ROLE,Show Biz,,
A WITCH RIDING A BROOMSTICK,Fictional Character,,
PURPLE IRISES,Living Things,,
OFFICE EQUIPMENT,Thing,,
BLACK CAT,Living Thing,,
WRESTLING MATCH,Event,,
DOUBLE DOUBLE TOIL AND TROUBLE,Quotation,,
HAUNTED HOUSE DRESSING,Before & After,,
SOFT TACOS FROM A SEASIDE GRILL,Food & Drink,,
SNEAK PEEK,Rhyme Time,,
INTERESTING THEORY,Thing,,
VIEWFINDER,Thing,,
PUMPKIN PATCH,Place,,
SALES MANAGER,Occupation,,
LIVE PERFORMANCES,Show Biz,,
RENEWING MY MEMBERSHIP,What Are You Doing?,,
GOOD GRIEF,Phrase,,
A FULL MOON,Event,,
GARDEN TOOLS,Around the House,,
THINGS THAT GO BUMP IN THE NIGHT,Phrase,,
SIPPING A PINA COLADA BY THE POOL,What Are You Doing?,,
DEEP DARK DREARY DUNGEON,Same Letter,,
GREAT HORNED OWL,Living Thing,,
THE MAN BEHIND THE MASK,Person,,
PRECIOUS METALS,Things,,
JOIN FORCES,Phrase,,
TAKE IT FROM THE TOP,Show Biz,,
TICKET STUB,Thing,,
STRAPLESS DRESS REHEARSAL,Before & After,,
ENJOYING OCEANSIDE SPA TREATMENTS,What Are You Doing?,,
BALCONY SEATING,Place,,
A LITTLE BIRD TOLD ME,Phrase,,
ONWARD AND UPWARD,Phrase,,
OSCAR NIGHT,Event,,
THEATER USHER,Occupation,,
RIDING THE BIG WAVES,Fun & Games,,
CALL WAITING IN THE WINGS,Before & After,,
SECRET IDENTITY,Thing,,
PACIFIC COAST HIGHWAY,On the Map,,
A FIRM GRIP,Event,,
HIGH DEFINITION,Thing,,
RECORDING ARTIST,Person,,
RAISING THE CURTAIN,Show Biz,,
THE POSSIBILITIES ARE ENDLESS,Phrase,,
COME ON DOWN COMFORTER,Before & After,,
CHOCOLATE CHIP COOKIES,Same Letter,,
NEWSPAPER COLUMNIST,Occupation,,
FLASH OF GENIUS,Phrase,,
VALLEY GIRL,Title,,
LEATHER HANDBAG,Around the House,,
ONE STEP AHEAD OF THE COMPETITION,Phrase,,
RECEIVING A STAR ON THE WALK OF FAME,Show Biz,,
MARGARITAS MADE FROM SCRATCH,Food & Drink,,
TAP DANCING LESSONS,Fun & Games,,
JUGGLERS AND CLOWNS,People,,
GOLDEN GLOBES,Show Biz,,
THE WICKED WITCH OF THE EAST,Fictional Character,,
ORIGINAL ALBUM CAST,Thing,,
YOU HAD ME AT HELLO,Quotation,,
VOLUNTEER FIREFIGHTER,Person,,
BABY KOALA,Living Thing,,
HIT THE JACKPOT,Phrase,,
HEALTHY WEALTHY AND WISE,Quotation,,
CHARM SCOOL OF FISH,Before & After,,
TRADITIONAL HAWAIIAN LUAU,Event,,
DOMINO EFFECT,Thing,,
VICTORIAN MANSION,Place,,
AHEAD OF THE CURVE,Phrase,,
LIFE IN THE FAST LANE,Song Title,,
ACADEMY AWARD WINNER JEFF BRIDGES,Show Biz,,
STEAK FAJITA PLATTER,Food & Drink,,
A NIGHT TO REMEMBER,Phrase,,
DAYLIGHT,Thing,,
COLD HARD CASH,Thing,,
DADDY WARBUCKS,Fictional Character,,
TOASTED ENGLISH MUFFIN,Food & Drink,,
SOMEWHERE OFF THE BEATEN PATH,Place,,
IF I WERE A RICH MAN,Song Title,,
FRIENDS IN HIGH PLACES,People,,
SECOND CHOICE,Thing,,
DOLLAR SIGN,Thing,,
MOVIE STARS,Show Biz,,
I AM A MATERIAL GIRL,Song Lyrics,,
FAME AND FORTUNE COOKIES,Before & After,,
MORE BANG FOR YOUR BUCK,Phrase,,
SHOULDER PADS,Things,,
GRAND ENTRANCE,Event,,
PENNIES FROM HEAVEN,Title,,
HOT BUTTERMILK BISCUITS,Food & Drink,,
KISS AND MAKE UP A STORY,Before & After,,
CATCHING A FRISBEE ON THE BEACH,Fun & Games,,
SWISS BANK ACCOUNT,Thing,,
TOUCHY SUBJECT,Thing,,
STICK TO THE PLAN,Phrase,,
PIRATES OF THE CARIBBEAN,Movie Title,,
REVERSIBLE DRILL SERGEANT,Before & After,,
BRUCE WILLIS,Proper Name,,
FLYING UNDER THE RADAR,What Are You Doing?,,
I WAS MISQUOTED,Phrase,,
COMMANDING OFFICER,Person,,
NORTH CAROLINA,On the Map,,
DIGITAL CAMERA AND PHOTO PRINTER,Around the House,,
COWBOY BOOT CAMP,Before & After,,
SEEING THE SIGHTS OF SOUTH BEACH,What Are You Doing?,,
EVERYTHING IS SHIPSHAPE,Phrase,,
SMOOTH MOVE,Thing,,
HIT THE DECK,Phrase,,
COUNTERTOP MICROWAVE,In the Kitchen,,
CHICKEN ENCHILADA WITH CHILI SAUCE,Food & Drink,,
TO THE SHORES OF TRIPOLI,Song Lyrics,,
MAIN LOBBY,Place,,
NEW YORK JETS,Proper Name,,
STACKABLE WASHER AND DRYER UNIT,Around the House,,
SHADY SPOT UNDER A PALM TREE,Place,,
AIRCRAFT CARRIER PIGEON,Before & After,,
THE PACIFIC,TV Title,,
READY AND RARING TO GO,Phrase,,
TAKING NOTES,What Are You Doing?,,
RECENTLY REMODELED KITCHEN,Place,,
HITTING THE SLOPES,Fun & Games,,
NORFOLK VIRGINIA,On the Map,,
BAKED BANANA BREAD,Same Letter,,
BRIEF CHAT,Thing,,
PITCHING A TENT,What Are You Doing?,,
RED SQUIRREL,Living Thing,,
RAFTING THROUGH THE GRAND CANYON,Fun & Games,,
SLEEPING BAG OF POTATO CHIPS,Before & After,,
BOISE IDAHO,On the Map,,
THE TRILL OF VICTORY,Phrase,,
GHOST TOWN,Place,,
MOUNTAIN CLIMBER,Person,,
WILDERNESS AREA,Place,,
LANTERN STOVE AND COOLER,Thing,,
JURASSIC PARK RANGER,Before & After,,
SPENDING THE ENTIRE DAY AT THE SPA,What Are You Doing?,,
BATTLE CREEK MICHIGAN,On the Map,,
ROASTING MARSHMALLOWS,Fun & Games,,
SCENIC OVERLOOK,Place,,
CLEVELAND BROWNS,Proper Name,,
HIKING THE APPALACHIAN TRAIL,Fun & Games,,
A VISIT FROM LADY LUCK,Event,,
FLOCK OF BIRDS,Living Things,,
RUNNING NECK AND NECK,Phrase,,
POWER SOURCE,Thing,,
MONUMENT VALLEY,Landmark,,
GATHERING WOOD FOR THE FIRE,What Are You Doing?,,
SCUBA DIVERS AND SNORKELERS,People,,
A SECOND HELPING OF TURKEY AND STUFFING,Food & Drink,,
NEW HAMPSHIRE,On the Map,,
CABIN IN THE COUNTRY,Place,,
TEXTBOOK,Thing,,
ROCK FORMATIONS,Things,,
BACKPACKING THROUGH THE FOREST,Fun & Games,,
BOARD GAME WARDEN,Before & After,,
CRANBERRY SAUCE,Food & Drink,,
PLAID FLANNEL SHIRT,Around the House,,
BLACK TIGHTS,Things,,
VENICE ITALY,On the Map,,
TIGER CUBS,Living Things,,
TRYING TO KEEP A STRAIGHT FACE,What Are You Doing?,,
LIKE A BRIDGE OVER TROUBLED WATER BALLOONS,Before & After,,
DESTINATION RELAXATION,Rhyme Time,,
SKILLED CRAFTSMAN,Person,,
END OF DISCUSSION,Phrase,,
CHEMICAL FORMULA,Thing,,
NORWAY AND SWEDEN,On the Map,,
EXTENDED FAMILY,People,,
SLICE OF COCONUT CREAM PIE,Food & Drink,,
CROSSWORD CLUES,Things,,
INSTRUCTION MANUAL,Around the House,,
FORMER BOYFRIEND,Person,,
ATHENS GREECE,On the Map,,
LIVING LEGEND,Person,,
A SIGHT FOR SORE EYES,Phrase,,
WALKING BAREFOOT ALONG THE SHORE,What Are You Doing?,,
SCIENCE EXPERIMENT,Event,,
DOCUMENTARY FILMMAKER,Show Biz,,
NO QUESTION ABOUT IT,Phrase,,
SYDNEY AUSTRALIA,On the Map,,
SPIN TO WIN,Rhyme Time,,
ANGELINA JOLIE AS SALT,Star & Role,,
ZIPPING DOWN THE WATER SLIDE,What Are You Doing?,,
THROW RUG,Around the House,,
THE LATEST TECHNOLOGY,Thing,,
VIVID DREAM,Thing,,
VIENNA AUSTRIA,On the Map,,
WORKOUT CLOTHES,Around the House,,
GLORY DAYS BY BRUCE SPRINGSTEEN,Rock On!,,
SPARKLING WATER POLO,Before & After,,
BLACK BEAN BREAKFAST BURRITO,Same Letter,,
MARTIAL ARTS INSTRUCTOR,Occupation,,
BUSY HIGHWAY,Place,,
KANSAS CITY MISSOURI,On the Map,,
PRISTINE MOUNTAIN LAKE,Place,,
PARKING SPACE ALIENS,Before & After,,
BIRDS OF PREY,Living Things,,
ORCHESTRA CONDUCTOR,Occupation,,
LIGHTWEIGHT CHAMP,Person,,
DENVER COLORADO,On the Map,,
MYSTERY GUEST,Person,,
PRETTY PLEASE WITH SUGAR ON TOP,Phrase,,
A BREAK FROM ALL THE HUSTLE AND BUSTLE,Phrase,,
YELLOW BRICK ROAD PAGE,Before & After,,
COMFORTABLE LEAD,Thing,,
COMMUNITY COLLEGE,Place,,
YOUNG FOLKS,People,,
HAWAII,On the Map,,
RIP VAN WINKLE,Fictional Character,,
CHARBROILED STEAK TACOS,Food & Drink,,
BRONZE MEDAL,Thing,,
EXPECT THE UNEXPECTED,Phrase,,
PSYCHIC PREDICTIONS,Things,,
SAN DIEGO,On the Map,,
BLUSHING BRIDE,Person,,
FRENCH TOAST SMOTHERED IN MAPLE SYRUP,Food & Drink,,
TWINKLE TWINKLE LITTLE STAR TREK,Before & After,,
FOOTBALL FIELD,Place,,
LIFELIKE STATUE,Thing,,
VALUABLE INSIGHT,Thing,,
SEAWORLD ORLANDO,Place,,
TWINS AND TRIPLETS,People,,
THE SOCIAL NETWORK,Movie Title,,
SIDEWALK SALE,Event,,
A LUMP SUM,Thing,,
BRYCE CANYON,Landmark,,
HELICOPTER,Event,,
FINDING MY FAVORITE CONSTELLATIONS,Fun & Games,,
THEODORE ROOSEVELT,Proper Name,,
KEEPING WATCH,What Are You Doing?,,
HISTORIC SITES,Places,,
BLACK BEARS,Living Things,,
SALTED SUNFLOWER SEEDS,Same Letter,,
CHILLING OUT BY THE POOL,What Are You Doing?,,
ALEXANDER THE GREAT SMOKY MOUNTAINS,Before & After,,
BAR HARBOR MAINE,On the Map,,
ENTHUSIASTIC CROWD,People,,
LOFTY HEIGHTS,Phrase,,
NATURAL BRIDGES,Things,,
TRAVELING COMPANIONS,People,,
GIANT REDWOODS OF YOSEMITE,Living Things,,
HOMEMADE TORTILLAS FRESH FROM THE KITCHEN,Food & Drink,,
OLYMPIA WASHINGTON,On the Map,,
VALID OPTION,Thing,,
HOT SPRINGS,Things,,
EXPRESS YOURSELF,Song Title,,
A MAN WHO NEEDS NO INTRODUCTION,Person,,
DEPARTMENT OF THE INTERIOR DESIGNERS,Before & After,,
SPECTACULAR VOLCANIC ISLANDS,Places,,
WOODPECKER,Living Thing,,
GAINING MOMENTUM,What Are You Doing?,,
BRAINS AND BRAWN,Things,,
GLAICER BAY,On the Map,,
MALLARD DUCK,Living Thing,,
HOT ON YOUR TRAIL MIX,Before & After,,
RIDING RAGING RIVER RAPIDS,Same Letter,,
RANGER PROGRAMS,Things,,
THE TRIBE HAS SPOKEN,Quotation,,
CHRISTMAS CAROLERS,People,,
FLUFFY PILLOWS,Around the House,,
THE COOL SPRAY OF A WATERFALL,Thing,,
THREE FRENCH HENS,Living Things,,
GINGERBREAD COOKIES,Food & Drink,,
ONE WAY OR ANOTHER,Phrase,,
HINDSIGHT,Thing,,
EBENEZER SCROOGE,Fictional Character,,
MOVIE SOUNDTRACK,Show Biz,,
HOPELESS ROMANTIC,Person,,
UNDER THE MISTLETOE,Place,,
JOB OFFER,Thing,,
FROSTY THE SNOWMAN,Title,,
GENEROUS DONATIONS,Things,,
FLIPPING THROUGH A CATALOG,What Are You Doing?,,
AND A PARTRIDGE IN A PEAR TREE,Song Lyrics,,
DAIRY FARM,Place,,
CINNAMON STICKY BUNS,Food & Drink,,
ART COLLECTOR,Person,,
SQUAT DOWN,Phrase,,
DECK THE HALLS,Song Lyrics,,
AUNTS AND UNCLES,People,,
HOT OATMEAL SPRINKLED WITH BROWN SUGAR,Food & Drink,,
METEOROLOGIST,Occupation,,
A GAGGLE OF GEESE,Living Things,,
WAX FIGURE,Thing,,
PINE NEEDLES,Things,,
CANDIED YAMS,Food & Drink,,
LET IT SNOW LET IT SNOW LET IT SNOW,Song Lyrics,,
TWELVE DRUMMERS DRUMMING,People,,
COMING ON STRONG,What Are You Doing?,,
GIVING BACK,What Are You Doing?,,
BREAKING THE ICE,What Are You Doing?,,
MAN OF MYSTERY,Person,,
THE BEST THINGS IN LIFE ARE FREE,Song Lyrics,,
PRESSURE COOKER,In the Kitchen,,
HAND TOWEL,Thing,,
COCKTAIL PARTY,Event,,
PORCH LIGHT,Around the House,,
SHOPPING FOR A NEW SURFBOARD,What Are You Doing?,,
CHERRY COBBLER,Food & Drink,,
ON THE DOUBLE,Phrase,,
SCORING A GOAL,Fun & Games,,
BEN STILLER,Proper Name,,
PULLING A RABBIT OUT OF A HAT,Event,,
BELLY DANCING WITH THE STARS,Before & After,,
STRAWBERRY JAM,Food & Drink,,
MOST VALUABLE PLAYER,Person,,
PUCKER UP,Phrase,,
HAPPY AS A CLAM,Phrase,,
SHIFTING GEARS,What Are You Doing?,,
SCUBA DIVING AMONG TROPICAL FISH,Fun & Games,,
PET HAMSTER,Living Thing,,
BABY YOU CAN DRIVE MY CAR,Song Lyrics,,
A HIGH VOICE,Thing,,
CHAMPANGE GLASSES,Around the House,,
FUNNY BONE,Thing,,
CRISPY CHIPS AND GUACAMOLE,Food & Drink,,
MAKING A TOAST,What Are You Doing?,,
THE WRITING IS ON THE WALL,Phrase,,
BACKGROUND MUSIC,Thing,,
BALD EAGLE,Living Thing,,
PAIR OF MITTENS,Around the House,,
GETTING MY FOOT IN THE DOOR,What Are You Doing?,,
HULA DANCING ON THE BEACH,Fun & Games,,
SLOWLY BUT SURELY,Phrase,,
KNIGHT IN SHINING ARMOR,Person,,
HAZY SKY,Thing,,
CAPTAIN AMERICA,Fictional Character,,
HEALTHY SNACKS,Food & Drink,,
ORDERING DINNER IN SPANISH,What Are You Doing?,,
FORT WORTH TEXAS,On the Map,,
A KNOWN FACT,Thing,,
LION TAMER,Person,,
COUNTRY MUSIC STAR KENNY CHESNEY,Show Biz,,
MODERN FAMILY,TV Title,,
CATCHING MY SECOND WIND,What Are You Doing?,,
CLOTHING BOUTIQUE,Place,,
THE POTOMAC RIVER,On the Map,,
BUILDING HOUSES ON BOARDWALK AND PARK PLACE,Fun & Games,,
BORN TO BE WILD MUSHROOM,Before & After,,
IF YOU PLAY YOUR CARDS RIGHT,Phrase,,
MIAMI DOLPHINS,Proper Name,,
BUSINESS OPPORTUNITY,Thing,,
COVERED BRIDGE,Thing,,
LINCOLN NEBRASKA,On the Map,,
PALOMINO HORSE,Living Thing,,
WINNING A PLAYOFF GAME,Event,,
THEATER IN THE PARK,Show Biz,,
PASSING WITH FLYING COLORS,What Are You Doing?,,
WASHING UP,What Are You Doing?,,
STRIKE A POSE,Phrase,,
PORTRAIT PAINTER,Occupation,,
EMMYS GRAMMYS AND GOLDEN GLOBES,Show Biz,,
HIT ME WITH YOUR BEST SHOT OF ESPRESSO,Before & After,,
DANCERS WEARING GLASS SKIRTS,People,,
BUYING MOVIE TICKETS ONLINE,What Are You Doing?,,
ACOUSTIC GUITAR,Thing,,
FASHION PHOTOGRAPHER,Occupation,,
GREAT BALLS OF FIRE,Song Title,,
SUGAR AND SPICE AND EVERYTHING NICE,Rhyme Time,,
MY FIRST TIME PARASAILING,Event,,
SATIN SHEET MUSIC,Before & After,,
KIDNEY BEANS,Food & Drink,,
TAKE ME TO YOUR LEADER,Phrase,,
YOUTH OF TODAY,People,,
WHEELING AND DEALING,Rhyme Time,,
OPRAH WINFREY,Proper Name,,
HIGHLY ANTICIPATED FILM PREMIERE,Show Biz,,
I WANT TO HOLD YOUR HAND SANITIZER,Before & After,,
GORGEOUS PRIVATE BEACHES,Places,,
DIMMING THE LIGHTS,What Are You Doing?,,
HISTORY IN THE MAKING,Phrase,,
MAJOR ACCOMPLISHMENT,Thing,,
NIGHTFALL,Event,,
ACTION STAR,Show Biz,,
SKATEBOARD PARK,Place,,
TUNING IN TO MY FAVORITE SHOW,What Are You Doing?,,
LIFE IS FULL OF SURPRISES,Phrase,,
JOHN TRAVOLTA,Proper Name,,
FINISHING A MARATHON,Event,,
TALLAHASSEE FLORIDA,On the Map,,
KAYAKING,Fun & Games,,
A NICE BIG SMILE,Thing,,
THE ARCTIC OCEAN,On the Map,,
BASED ON ACTUAL EVENTS,Phrase,,
SKIING THROUGH FRESH POWDER SNOW,What Are You Doing?,,
PERFECTLY POPPED POPCORN,Same Letter,,
SECRET ADMIRER,Person,,
LIMITED ENGAGEMENT,Show Biz,,
WORK IT OUT,Phrase,,
BEACH BONFIRE,Thing,,
SPECTATOR SPORT,Fun & Games,,
YOU LEARN SOMETHING NEW EVERY DAY,Phrase,,
UNSPOILED MOUNTAIN LANDSCAPES,Places,,
PRINCE WILLIAM ANNOUNCES ENGAGEMENT,Headline,,
GIVERS AND TAKERS,People,,
BREATHING A SIGH OF RELIEF,What Are You Doing?,,
CARTOONIST,Occupation,,
EXCLUSIVE CLUB,Thing,,
SUNRISE AND SUNSET,Events,,
SAUTEED SHRIMP,Food & Drink,,
NO EXPERIENCE NECESSARY,Phrase,,
PLAYING MY LUCKY NUMBERS,What Are You Doing?,,
CHRISTINA APPLEGATE,Proper Name,,
BIKE TOUR,Event,,
CALIFORNIA GIRLS,Song Title,,
SIAMESE KITTENS,Living Things,,
THE MAIN COURSE,Food & Drink,,
SECRET HANDSHAKE,Thing,,
BIG VOCABULARY,Thing,,
LIFEGUARD ON DUTY,Phrase,,
CAPTURE THE FLAG,Fun & Games,,
GRAHAM CRACKER PIE CRUST,Food & Drink,,
KEITH URBAN DEVELOPMENT,Before & After,,
RENTING A TUXEDO,What Are You Doing?,,
HOUSE KEY,Thing,,
GENTLE WAVES,Things,,
NO MUSS NO FUSS,Rhyme Time,,
HAN SOLO AND CHEWBACCA,Fictional Characters,,
THE TIME IS RIGHT FOR DANCING IN THE STREET,Song Lyrics,,
BRAISED BEEF WITH CARAMELIZED ONIONS,Food & Drink,,
WINDSOR CASTLE,Landmark,,
ANYTHING CAN HAPPEN,Phrase,,
JUMP UP AND DOWN,Phrase,,
FISHING LICENSE,Thing,,
CELEBRITY CHEF,Person,,
THE OLD MAN AND THE SEA BY ERNEST HEMINGWAY,Title/Author,,
DAFFY DUCK SAUCE,Before & After,,
PLAY OF THE DAY,Rhyme Time,,
PADDLING A CANOE,Fun & Games,,
MAJOR OVERHAUL,Thing,,
OUTBOARD MOTOR,Thing,,
FLORIDA KEYS,On the Map,,
WHATEVER FLOATS YOUR BOAT,Phrase,,
UNCORKING A BOTTLE OF VINTAGE WINE,What Are You Doing?,,
DETROIT LIONS AND TIGERS AND BEARS OH MY,Before & After,,
MATTHEW MCCONAUGHEY,Proper Name,,
BRIEF INTERMISSION,Show Biz,,
FUEL GAUGE,Thing,,
CAPTAIN AHAB,Fictional Character,,
TAKE ME TO THE RIVER DROP ME IN THE WATER,Song Lyrics,,
JUST ANOTHER DAY IN PARADISE,Phrase,,
ALASKAN SALMON,Living Thing,,
PUSHING MY LUCK,What Are You Doing?,,
NIFTY GADGET,Thing,,
WARDROBE CHANGE,Show Biz,,
COMIC BOOK SUPERHERO AQUAMAN,Fictional Character,,
THIS IS GOING TO BE A BLAST,Phrase,,
CHESAPEAKE BAY,On the Map,,
PULLING OUT ALL THE STOPS,What Are You Doing?,,
PRIVATE COURTYARD,Place,,
CALLING THE SHOTS,What Are You Doing?,,
POP SINGER AND ACTOR JUSTIN TIMBERLAKE,Show Biz,,
BREAKING OPEN A PINATA FILLED WITH CANDY,Fun & Games,,
SHARK TALE,Movie Title,,
JACKSON HOLE WYOMING,On the Map,,
THE WHOLE FAMILY,People,,
CHEMISTRY LAB,Place,,
GUEST SPEAKER,Person,,
THE SCARLET LETTER TO THE EDITOR,Before & After,,
MAKING TRAVEL PLANS,What Are You Doing?,,
LEAN ON ME,Song Title,,
NO RUNNING IN THE HALLS,Phrase,,
GENEVA SWITZERLAND,On the Map,,
OPENING THE VAULT,What Are You Doing?,,
SHOW AND TELL,Fun & Games,,
THE BREAKFAST CLUB,Movie Title,,
PATIO AWNING,Thing,,
CLASS PARTICIPATION,Thing,,
INVESTIGATIVE REPORT CARD,Before & After,,
A TALE OF TWO CITIES,Title,,
SCOTTSDALE ARIZONA,On the Map,,
JIMINY CRICKET,Fictional Character,,
PINK ORCHID,Living Thing,,
SCIENCE PROJECT,Thing,,
THE ADVENTURES OF HUCKLEBERRY FINN,Title,,
FRIENDLY SKI INSTRUCTOR,Person,,
COMMERCIAL FISHERMAN,Occupation,,
UNDIVIDED ATTENTION,Phrase,,
JAZZ BAND,People,,
PEP RALLY,Event,,
OF MICE AND MEN,Title,,
BURNING THE MIDNIGHT OIL,What Are You Doing?,,
HONOR ROLL WITH THE PUNCHES,Before & After,,
FOOTPRINTS IN THE SAND,Things,,
HISTORICAL FIGURES,People,,
NO HOMEWORK THIS WEEKEND,Phrase,,
AVID HIKER,Person,,
CANDY HEARTS,Food & Drink,,
JAMES BOND,Fictional Character,,
CHICKEN SOUP FOR THE SOUL MATE,Before & After,,
HONEYSUCKLE,Living Thing,,
WEDDING ANNOUNCEMENT,Thing,,
POUR IT ON,Phrase,,
SPIN THE BOTTLE,Fun & Games,,
MOTORCYCLE BOOTS,Things,,
GETTING COZY BY THE FIREPLACE,What Are You Doing?,,
I BELIEVE THE CHILDREN ARE OUR FUTURE,What's That Song?,,
OPPOSITES ATTRACT,Phrase,,
MARGE AND HOMER SIMPSON,Fictional Family,,
DRAWBRIDGE,Thing,,
A PERFECT MATCH,Phrase,,
SOAK UP THE SUN BY SHERYL CROW,Rock On!,,
TYING THE KNOT,What Are You Doing?,,
PAIR OF BINOCULARS,Around the House,,
NOISY NEIGHBOR,Person,,
THE BACHELORETTE,TV Title,,
PECAN PIE,Food & Drink,,
MAIDEN NAME THAT TUNE,Before & After,,
PINCH ME I MUST BE DREAMING,Phrase,,
KNOXVILLE TENNESSEE,On the Map,,
IN A JIFFY,Phrase,,
OLD FAITHFUL,Landmark,,
NAIL POLISH,Thing,,
SURPRISE MARRIAGE PROPOSAL,Event,,
OFF WE GO INTO THE WILD BLUE YONDER,Song Lyrics,,
AND THEY LIVED HAPPILY EVER AFTER,Quotation,,
JACKRABBIT,Living Thing,,
BOUNCING BABY BOY,Same Letter,,
EXPERT ADVICE,Thing,,
WINNING TEAM,People,,
PARIS FRANCE,On the Map,,
DOWNLOADING DIGITAL BOOKS,What Are You Doing?,,
SWIMMING AGAINST THE CURRENT EVENTS,Before & After,,
STUDY HALL,Place,,
AMATEUR ASTRONOMER,Person,,
IT MIGHT HAPPEN,Phrase,,
GRADE POINT AVERAGE,Thing,,
DANCE CHAPERONE,Person,,
READING TEXT MESSAGES,What Are You Doing?,,
CERTIFIED SCUBA INSTRUCTOR,Occupation,,
ALL OF THE ABOVE,Phrase,,
STRAWBERRY SMOOTHIE,Food & Drink,,
A FORK IN THE ROAD,Place,,
HAIR BRAID,Thing,,
MATCHING OUTFITS,Things,,
SHOOTING HOOPS,Fun & Games,,
TAKING A LIMOUSINE TO THE PROM,What Are You Doing?,,
TOTALLY AWESOME WATER PARK,Place,,
SOCCER PLAYER,Person,,
BOY WIZARD HARRY POTTER,Fictional Character,,
MOVING VAN,Thing,,
MOUTHWATERING TREATS,Food & Drink,,
BUZZ LIGHTYEAR,Fictional Character,,
STUDENT COUNCIL PRESIDENT,Person,,
BEAUTIFUL HAWAIIAN ISLAND,Place,,
CHANGING MY PROFILE PICTURE ON FACEBOOK,What Are You Doing?,,
RELAY RACE,Fun & Games,,
EXTRA CREDIT ASSIGNMENT,Thing,,
JUNIOR VARSITY SQUAD,People,,
SCHOOL SPIRIT,Thing,,
ROBIN HOOD,Fictional Character,,
THROWING A BOOMERANG,Fun & Games,,
SINGING SUPERSTAR TAYLOR SWIFT,Show Biz,,
WE WOULD LOVE TO GO WHALE WATCHING,Phrase,,
STATE CAPITALS,Places,,
THE NARRATOR OF THE STORY,Person,,
STRICT CURFEW,Thing,,
STARBOARD SIDE,Place,,
SCOTTISH TERRIER,Living Thing,,
GREEK GOD POSEIDON,Fictional Character,,
ENJOYING A PICNIC AT THE VINEYARD,What Are You Doing?,,
TEAM CAPTAIN,Person,,
ABRAHAM LINCOLN,Proper Name,,
MEDICAL BREAKTHROUGH,Event,,
FIRST MATE,Person,,
MAGIC TRICKS,Things,,
OUTSTANDING BROADWAY MUSICAL,Show Biz,,
RAPUNZEL RAPUNZEL LET DOWN YOUR HAIR EXTENSIONS,Before & After,,
CREATIVE DIRECTOR,Occupation,,
WINNING THE LOTTERY,Event,,
THE RIGHT APPROACH,Phrase,,
CHILDHOOD DREAMS,Things,,
JESSICA SIMPSON,Proper Name,,
SWASHBUCKLING PIRATES,People,,
RAIN RAIN GO AWAY COME AGAIN ANOTHER DAY,Rhyme Time,,
THE FAMOUS GOLDEN GATE BRIDGE,Landmark,,
SPECIAL OCCASION,Event,,
AUCKLAND NEW ZEALAND,On the Map,,
TOWNSHIP,Place,,
MASTS AND SAILS,Things,,
OFF THE CHARTS,Phrase,,
GILLIGAN AND THE SKIPPER,Fictional Characters,,
THE GREAT WALL OF CHINA DOLLS,Before & After,,
A SOOTHING EXPERIENCE AT THE SPA,Event,,
GRASSHOPPERS,Living Things,,
THE UNDISPUTED CHAMPION,Person,,
TEMPTING TREATS,Same Letter,,
VAST MAJORITY,Phrase,,
RISING TIDE,Event,,
THE GOOD WIFE,TV Title,,
ADMIRAL OF THE FLEET,Person,,
AMAZING NATURAL SURROUNDINGS,Phrase,,
IN A STATE OF SHOCK ABSORBERS,Before & After,,
BUFFALO BURGER,Food & Drink,,
STEALING THE SPOTLIGHT,What Are You Doing?,,
WORTH THE RISK,Phrase,,
SALT LAKE CITY,On the Map,,
LEGAL EAGLE,Rhyme Time,,
PERFORMING ABOVE EXPECTATIONS,What Are You Doing?,,
I CAN BE PACKED IN THE BLINK OF AN EYE,Phrase,,
GIVE YOURSELF A PAT ON THE BACK SEAT,Before & After,,
HOMETOWN HERO,Person,,
ANOTHER ONE BITES THE DUST,Song Lyrics,,
AWARD PLAQUE,Thing,,
ATLANTA GEORGIA,On the Map,,
NATIONAL TREASURE,Thing,,
COMPUTER SOFTWARE ENGINEER,Occupation,,
THINGS ARE STARTING TO GO MY WAY,Phrase,,
SCHOOL AUDITORIUM,Place,,
SAN FRANCISCO,On the Map,,
CHALK TALK,Rhyme Time,,
BE TRUE TO YOUR SCHOOL,Song Title,,
PARADISE LOST AND FOUND,Before & After,,
GREEK MYTHOLOGY,Thing,,
HOURLY WAGE,Thing,,
CINCINNATI OHIO,On the Map,,
STAY AND PLAY,Rhyme Time,,
SNORKELING ALONG A BRILLIANT CORAL,Fun & Games,,
VISIBLE TO THE NAKED EYE DOCTOR,Before & After,,
INDEPENDENT FILM,Show Biz,,
YOU TAKE MY BREATH AWAY,Phrase,,
WIGGLE ROOM,Phrase,,
SEATTLE WASHINGTON,On the Map,,
TALENT SCOUT,Show Biz,,
